id;city_code;name;province_id
1024;11.01;KAB. ACEH SELATAN;11
1025;11.02;KAB. ACEH TENGGARA;11
1026;11.03;KAB. ACEH TIMUR;11
1027;11.04;KAB. ACEH TENGAH;11
1028;11.05;KAB. ACEH BARAT;11
1029;11.06;KAB. ACEH BESAR;11
1030;11.07;KAB. PIDIE;11
1031;11.08;KAB. ACEH UTARA;11
1032;11.09;KAB. SIMEULUE;11
1033;11.10;KAB. ACEH SINGKIL;11
1034;11.11;KAB. BIREUEN;11
1035;11.12;KAB. ACEH BARAT DAYA;11
1036;11.13;KAB. GAYO LUES;11
1037;11.14;KAB. ACEH JAYA;11
1038;11.15;KAB. NAGAN RAYA;11
1039;11.16;KAB. ACEH TAMIANG;11
1040;11.17;KAB. BENER MERIAH;11
1041;11.18;KAB. PIDIE JAYA;11
1042;11.71;KOTA BANDA ACEH;11
1043;11.72;KOTA SABANG;11
1044;11.73;KOTA LHOKSEUMAWE;11
1045;11.74;KOTA LANGSA;11
1046;11.75;KOTA SUBULUSSALAM;11
1047;12.01;KAB. TAPANULI TENGAH;12
1048;12.02;KAB. TAPANULI UTARA;12
1049;12.03;KAB. TAPANULI SELATAN;12
1050;12.04;KAB. NIAS;12
1051;12.05;KAB. LANGKAT;12
1052;12.06;KAB. KARO;12
1053;12.07;KAB. DELI SERDANG;12
1054;12.08;KAB. SIMALUNGUN;12
1055;12.09;KAB. ASAHAN;12
1056;12.10;KAB. LABUHANBATU;12
1057;12.11;KAB. DAIRI;12
1058;12.12;KAB. TOBA SAMOSIR;12
1059;12.13;KAB. MANDAILING NATAL;12
1060;12.14;KAB. NIAS SELATAN;12
1061;12.15;KAB. PAKPAK BHARAT;12
1062;12.16;KAB. HUMBANG HASUNDUTAN;12
1063;12.17;KAB. SAMOSIR;12
1064;12.18;KAB. SERDANG BEDAGAI;12
1065;12.19;KAB. BATU BARA;12
1066;12.20;KAB. PADANG LAWAS UTARA;12
1067;12.21;KAB. PADANG LAWAS;12
1068;12.22;KAB. LABUHANBATU SELATAN;12
1069;12.23;KAB. LABUHANBATU UTARA;12
1070;12.24;KAB. NIAS UTARA;12
1071;12.25;KAB. NIAS BARAT;12
1072;12.71;KOTA MEDAN;12
1073;12.72;KOTA PEMATANGSIANTAR;12
1074;12.73;KOTA SIBOLGA;12
1075;12.74;KOTA TANJUNG BALAI;12
1076;12.75;KOTA BINJAI;12
1077;12.76;KOTA TEBING TINGGI;12
1078;12.77;KOTA PADANGSIDIMPUAN;12
1079;12.78;KOTA GUNUNGSITOLI;12
1080;13.01;KAB. PESISIR SELATAN;13
1081;13.02;KAB. SOLOK;13
1082;13.03;KAB. SIJUNJUNG;13
1083;13.04;KAB. TANAH DATAR;13
1084;13.05;KAB. PADANG PARIAMAN;13
1085;13.06;KAB. AGAM;13
1086;13.07;KAB. LIMA PULUH KOTA;13
1087;13.08;KAB. PASAMAN;13
1088;13.09;KAB. KEPULAUAN MENTAWAI;13
1089;13.10;KAB. DHARMASRAYA;13
1090;13.11;KAB. SOLOK SELATAN;13
1091;13.12;KAB. PASAMAN BARAT;13
1092;13.71;KOTA PADANG;13
1093;13.72;KOTA SOLOK;13
1094;13.73;KOTA SAWAHLUNTO;13
1095;13.74;KOTA PADANG PANJANG;13
1096;13.75;KOTA BUKITTINGGI;13
1097;13.76;KOTA PAYAKUMBUH;13
1098;13.77;KOTA PARIAMAN;13
1099;14.01;KAB. KAMPAR;14
1100;14.02;KAB. INDRAGIRI HULU;14
1101;14.03;KAB. BENGKALIS;14
1102;14.04;KAB. INDRAGIRI HILIR;14
1103;14.05;KAB. PELALAWAN;14
1104;14.06;KAB. ROKAN HULU;14
1105;14.07;KAB. ROKAN HILIR;14
1106;14.08;KAB. SIAK;14
1107;14.09;KAB. KUANTAN SINGINGI;14
1108;14.10;KAB. KEPULAUAN MERANTI;14
1109;14.71;KOTA PEKANBARU;14
1110;14.72;KOTA DUMAI;14
1111;15.01;KAB. KERINCI;15
1112;15.02;KAB. MERANGIN;15
1113;15.03;KAB. SAROLANGUN;15
1114;15.04;KAB. BATANGHARI;15
1115;15.05;KAB. MUARO JAMBI;15
1116;15.06;KAB. TANJUNG JABUNG BARAT;15
1117;15.07;KAB. TANJUNG JABUNG TIMUR;15
1118;15.08;KAB. BUNGO;15
1119;15.09;KAB. TEBO;15
1120;15.71;KOTA JAMBI;15
1121;15.72;KOTA SUNGAI PENUH;15
1122;16.01;KAB. OGAN KOMERING ULU;16
1123;16.02;KAB. OGAN KOMERING ILIR;16
1124;16.03;KAB. MUARA ENIM;16
1125;16.04;KAB. LAHAT;16
1126;16.05;KAB. MUSI RAWAS;16
1127;16.06;KAB. MUSI BANYUASIN;16
1128;16.07;KAB. BANYUASIN;16
1129;16.08;KAB. OGAN KOMERING ULU TIMUR;16
1130;16.09;KAB. OGAN KOMERING ULU SELATAN;16
1131;16.10;KAB. OGAN ILIR;16
1132;16.11;KAB. EMPAT LAWANG;16
1133;16.12;KAB. PENUKAL ABAB LEMATANG ILIR;16
1134;16.13;KAB. MUSI RAWAS UTARA;16
1135;16.71;KOTA PALEMBANG;16
1136;16.72;KOTA PAGAR ALAM;16
1137;16.73;KOTA LUBUK LINGGAU;16
1138;16.74;KOTA PRABUMULIH;16
1139;17.01;KAB. BENGKULU SELATAN;17
1140;17.02;KAB. REJANG LEBONG;17
1141;17.03;KAB. BENGKULU UTARA;17
1142;17.04;KAB. KAUR;17
1143;17.05;KAB. SELUMA;17
1144;17.06;KAB. MUKO MUKO;17
1145;17.07;KAB. LEBONG;17
1146;17.08;KAB. KEPAHIANG;17
1147;17.09;KAB. BENGKULU TENGAH;17
1148;17.71;KOTA BENGKULU;17
1149;18.01;KAB. LAMPUNG SELATAN;18
1150;18.02;KAB. LAMPUNG TENGAH;18
1151;18.03;KAB. LAMPUNG UTARA;18
1152;18.04;KAB. LAMPUNG BARAT;18
1153;18.05;KAB. TULANG BAWANG;18
1154;18.06;KAB. TANGGAMUS;18
1155;18.07;KAB. LAMPUNG TIMUR;18
1156;18.08;KAB. WAY KANAN;18
1157;18.09;KAB. PESAWARAN;18
1158;18.10;KAB. PRINGSEWU;18
1159;18.11;KAB. MESUJI;18
1160;18.12;KAB. TULANG BAWANG BARAT;18
1161;18.13;KAB. PESISIR BARAT;18
1162;18.71;KOTA BANDAR LAMPUNG;18
1163;18.72;KOTA METRO;18
1164;19.01;KAB. BANGKA;19
1165;19.02;KAB. BELITUNG;19
1166;19.03;KAB. BANGKA SELATAN;19
1167;19.04;KAB. BANGKA TENGAH;19
1168;19.05;KAB. BANGKA BARAT;19
1169;19.06;KAB. BELITUNG TIMUR;19
1170;19.71;KOTA PANGKAL PINANG;19
1171;21.01;KAB. BINTAN;21
1172;21.02;KAB. KARIMUN;21
1173;21.03;KAB. NATUNA;21
1174;21.04;KAB. LINGGA;21
1175;21.05;KAB. KEPULAUAN ANAMBAS;21
1176;21.71;KOTA BATAM;21
1177;21.72;KOTA TANJUNG PINANG;21
1178;31.01;KAB. ADM. KEP. SERIBU;31
1179;31.71;KOTA ADM. JAKARTA PUSAT;31
1180;31.72;KOTA ADM. JAKARTA UTARA;31
1181;31.73;KOTA ADM. JAKARTA BARAT;31
1182;31.74;KOTA ADM. JAKARTA SELATAN;31
1183;31.75;KOTA ADM. JAKARTA TIMUR;31
1184;32.01;KAB. BOGOR;32
1185;32.02;KAB. SUKABUMI;32
1186;32.03;KAB. CIANJUR;32
1187;32.04;KAB. BANDUNG;32
1188;32.05;KAB. GARUT;32
1189;32.06;KAB. TASIKMALAYA;32
1190;32.07;KAB. CIAMIS;32
1191;32.08;KAB. KUNINGAN;32
1192;32.09;KAB. CIREBON;32
1193;32.10;KAB. MAJALENGKA;32
1194;32.11;KAB. SUMEDANG;32
1195;32.12;KAB. INDRAMAYU;32
1196;32.13;KAB. SUBANG;32
1197;32.14;KAB. PURWAKARTA;32
1198;32.15;KAB. KARAWANG;32
1199;32.16;KAB. BEKASI;32
1200;32.17;KAB. BANDUNG BARAT;32
1201;32.18;KAB. PANGANDARAN;32
1202;32.71;KOTA BOGOR;32
1203;32.72;KOTA SUKABUMI;32
1204;32.73;KOTA BANDUNG;32
1205;32.74;KOTA CIREBON;32
1206;32.75;KOTA BEKASI;32
1207;32.76;KOTA DEPOK;32
1208;32.77;KOTA CIMAHI;32
1209;32.78;KOTA TASIKMALAYA;32
1210;32.79;KOTA BANJAR;32
1211;33.01;KAB. CILACAP;33
1212;33.02;KAB. BANYUMAS;33
1213;33.03;KAB. PURBALINGGA;33
1214;33.04;KAB. BANJARNEGARA;33
1215;33.05;KAB. KEBUMEN;33
1216;33.06;KAB. PURWOREJO;33
1217;33.07;KAB. WONOSOBO;33
1218;33.08;KAB. MAGELANG;33
1219;33.09;KAB. BOYOLALI;33
1220;33.10;KAB. KLATEN;33
1221;33.11;KAB. SUKOHARJO;33
1222;33.12;KAB. WONOGIRI;33
1223;33.13;KAB. KARANGANYAR;33
1224;33.14;KAB. SRAGEN;33
1225;33.15;KAB. GROBOGAN;33
1226;33.16;KAB. BLORA;33
1227;33.17;KAB. REMBANG;33
1228;33.18;KAB. PATI;33
1229;33.19;KAB. KUDUS;33
1230;33.20;KAB. JEPARA;33
1231;33.21;KAB. DEMAK;33
1232;33.22;KAB. SEMARANG;33
1233;33.23;KAB. TEMANGGUNG;33
1234;33.24;KAB. KENDAL;33
1235;33.25;KAB. BATANG;33
1236;33.26;KAB. PEKALONGAN;33
1237;33.27;KAB. PEMALANG;33
1238;33.28;KAB. TEGAL;33
1239;33.29;KAB. BREBES;33
1240;33.71;KOTA MAGELANG;33
1241;33.72;KOTA SURAKARTA;33
1242;33.73;KOTA SALATIGA;33
1243;33.74;KOTA SEMARANG;33
1244;33.75;KOTA PEKALONGAN;33
1245;33.76;KOTA TEGAL;33
1246;34.01;KAB. KULON PROGO;34
1247;34.02;KAB. BANTUL;34
1248;34.03;KAB. GUNUNGKIDUL;34
1249;34.04;KAB. SLEMAN;34
1250;34.71;KOTA YOGYAKARTA;34
1251;35.01;KAB. PACITAN;35
1252;35.02;KAB. PONOROGO;35
1253;35.03;KAB. TRENGGALEK;35
