id;subdistrict_code;keterangan;district_id;city_id;province_id;postcode
1;11.01.01.2001;Keude Bakongan;1;1024;11;0
2;11.01.01.2002;Ujong Mangki;1;1024;11;0
3;11.01.01.2003;Ujong Padang;1;1024;11;0
4;11.01.01.2004;Gampong Drien;1;1024;11;0
5;11.01.01.2015;Darul Ikhsan;1;1024;11;0
6;11.01.01.2016;Padang Beurahan;1;1024;11;0
7;11.01.01.2017;Gampong Baro;1;1024;11;0
8;11.01.02.2001;Fajar Harapan;2;1024;11;0
9;11.01.02.2002;Krueng Batee;2;1024;11;0
10;11.01.02.2003;Pasi Kuala Asahan;2;1024;11;0
11;11.01.02.2004;Gunung Pulo;2;1024;11;0
12;11.01.02.2005;Pulo Ie I;2;1024;11;0
13;11.01.02.2006;Jambo Manyang;2;1024;11;0
14;11.01.02.2007;Simpang Empat;2;1024;11;37172
15;11.01.02.2008;Limau Purut;2;1024;11;0
16;11.01.02.2009;Pulo Kambing;2;1024;11;0
17;11.01.02.2010;Kampung Paya;2;1024;11;0
18;11.01.02.2011;Krueng Batu;2;1024;11;0
19;11.01.02.2012;Krueng Kluet;2;1024;11;0
20;11.01.02.2013;Alur Mas;2;1024;11;0
21;11.01.02.2014;Kampung Tinggi;2;1024;11;0
22;11.01.02.2015;Ruak;2;1024;11;0
23;11.01.02.2016;Simpang Lhee;2;1024;11;0
24;11.01.02.2017;Suaq Geuringgeng;2;1024;11;0
25;11.01.02.2018;Pasi Kuala Ba'u;2;1024;11;0
26;11.01.02.2019;Kedai Padang;2;1024;11;0
27;11.01.02.2020;Kotafajar;2;1024;11;0
28;11.01.02.2021;Gunung Pudung;2;1024;11;0
29;11.01.03.2001;Suaq Bakung;3;1024;11;0
30;11.01.03.2002;Rantau Binuang;3;1024;11;0
31;11.01.03.2003;Barat Daya;3;1024;11;0
32;11.01.03.2004;Sialang;3;1024;11;37352
33;11.01.03.2005;Kapeh;3;1024;11;0
34;11.01.03.2006;Pulo Ie;3;1024;11;0
35;11.01.03.2007;Kedai Runding;3;1024;11;0
36;11.01.03.2008;Kedai Kandang;3;1024;11;0
37;11.01.03.2009;Gampong Luar;3;1024;11;0
38;11.01.03.2010;Ujung;3;1024;11;0
39;11.01.03.2011;Jua;3;1024;11;0
40;11.01.03.2012;Pasi Meurapat;3;1024;11;0
41;11.01.03.2013;Ujung Pasir;3;1024;11;37172
42;11.01.03.2014;Geulumbuk;3;1024;11;0
43;11.01.03.2015;Pasie Lembang;3;1024;11;0
44;11.01.03.2016;Ujung Padang;3;1024;11;38714
45;11.01.03.2017;Indra Damai;3;1024;11;0
46;11.01.04.2001;Bakau Hulu;4;1024;11;0
47;11.01.04.2002;Padang Bakau;4;1024;11;0
48;11.01.04.2003;Manggis Harapan;4;1024;11;0
49;11.01.04.2004;Pasar Lama;4;1024;11;38963
50;11.01.04.2005;Apha;4;1024;11;0
51;11.01.04.2006;Ujung Batu;4;1024;11;0
52;11.01.04.2007;Pawoh;4;1024;11;0
53;11.01.04.2008;Dalam;4;1024;11;0
54;11.01.04.2009;Kota Palak;4;1024;11;0
55;11.01.04.2010;Cacang;4;1024;11;0
56;11.01.04.2011;Tengah Pisang;4;1024;11;0
57;11.01.04.2012;Pisang;4;1024;11;0
58;11.01.04.2013;Hulu Pisang;4;1024;11;0
59;11.01.04.2014;Tengah Baru;4;1024;11;0
60;11.01.04.2015;Lembah Baru;4;1024;11;0
61;11.01.04.2016;Padang Baru;4;1024;11;33684
62;11.01.05.2001;Kuta Buloh II;5;1024;11;0
63;11.01.05.2002;Kuta Buloh I;5;1024;11;0
64;11.01.05.2003;Ie Dingen;5;1024;11;0
65;11.01.05.2004;Drien Jalo;5;1024;11;0
66;11.01.05.2005;Jambo Papeun;5;1024;11;0
67;11.01.05.2006;Buket Meuh;5;1024;11;0
68;11.01.05.2007;Blang Kuala;5;1024;11;0
69;11.01.05.2008;Rot Teungoh;5;1024;11;0
70;11.01.05.2009;Alue Baro;5;1024;11;0
71;11.01.05.2010;Ladang Tuha;5;1024;11;0
72;11.01.05.2011;Lhok Mamplam;5;1024;11;0
73;11.01.05.2012;Arun Tunggai;5;1024;11;0
74;11.01.05.2013;Blang Teungoh;5;1024;11;0
75;11.01.05.2014;Blang Bladeh;5;1024;11;0
76;11.01.05.2015;Ie Buboh;5;1024;11;0
77;11.01.05.2016;Keude Meukek;5;1024;11;0
78;11.01.05.2017;Kuta Baro;5;1024;11;0
79;11.01.05.2018;Tanjung Harapan;5;1024;11;38657
80;11.01.05.2019;Labuhan Tarok;5;1024;11;0
81;11.01.05.2020;Lhok Aman;5;1024;11;0
82;11.01.05.2021;Alue Meutuah;5;1024;11;0
83;11.01.05.2022;Ladang Baro;5;1024;11;0
84;11.01.05.2023;Labuhan Tarok II;5;1024;11;0
85;11.01.06.2001;Dalam;6;1024;11;0
86;11.01.06.2002;Subarang;6;1024;11;0
87;11.01.06.2003;Kuta Baru;6;1024;11;15560
88;11.01.06.2004;Gunung Ketek;6;1024;11;0
89;11.01.06.2005;Ladang Panton Luas;6;1024;11;0
90;11.01.06.2006;Madat;6;1024;11;0
91;11.01.06.2007;Alur Seumerah;6;1024;11;0
92;11.01.06.2008;Tengah;6;1024;11;36254
93;11.01.06.2009;Gunung Cut;6;1024;11;0
94;11.01.06.2010;Alur Pinang;6;1024;11;0
95;11.01.06.2011;Kuta Blang;6;1024;11;0
96;11.01.06.2012;Batee Tunggai;6;1024;11;0
97;11.01.06.2013;Ujung Tanah;6;1024;11;0
98;11.01.06.2014;Ujung Kampung;6;1024;11;0
99;11.01.06.2015;Jilatang;6;1024;11;0
100;11.01.06.2016;Luar;6;1024;11;0
